Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29501,"The End of Faith: Religion, Terror, and the Future of Reason",Sam   Harris,"Harris, Sam",,"=""0393327655""","=""9780393327656""",0,3.93,W. W. Norton  Company,Paperback,348,2005,2004,,2013/03/28,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
1923820,Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",5,4.42,,Hardcover,1590,2008,1611,,2013/03/28,,,read,,,,1,,,0,,,,,
18989,"Tinker, Tailor, Soldier, Spy",John le Carré,"Carré, John le",,"=""0743457900""","=""9780743457903""",4,4.05,Scribner Book Company,Paperback,379,2002,1974,,2013/03/28,,,read,,,,1,,,0,,,,,
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393327345""","=""9780393327342""",4,4.20,W.W. Norton & Company (NYC),Paperback,218,2005,1996,,2013/03/28,,,read,,,,1,,,0,,,,,
11007587,"Zero Day (John Puller, #1)",David Baldacci,"Baldacci, David",,"=""0446573019""","=""9780446573016""",0,4.00,Grand Central Publishing,Hardcover,434,2011,2011,,2013/03/28,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
18999,Smiley's People,John le Carré,"Carré, John le",,"=""0743455800""","=""9780743455800""",4,4.25,Scribner Book Company,Paperback,397,2002,1979,,2013/03/28,,,read,,,,1,,,0,,,,,
31231,The Matarese Circle (Matarese #1),Robert Ludlum,"Ludlum, Robert",,"=""0752858556""","=""9780752858555""",4,4.04,Orion Publishing Group,Paperback,544,2004,1979,,2013/03/28,,,read,,,,1,,,0,,,,,
92364,Eye of the Needle,Ken Follett,"Follett, Ken",,"=""006074815X""","=""9780060748159""",4,4.17,HarperCollins Publishers,Paperback,339,2004,1978,,2013/03/28,,,read,,,,1,,,0,,,,,
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"Ludlum, Robert",,"=""0752864327""","=""9780752864327""",4,3.99,Orion,Paperback,566,2005,1980,,2013/03/28,,,read,,,,1,,,0,,,,,
540020,The Day of the Jackal,Frederick Forsyth,"Forsyth, Frederick",,"=""0553266306""","=""9780553266306""",4,4.25,Bantam,Paperback,384,1982,1971,,2013/03/28,,,read,,,,1,,,0,,,,,
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",4,4.18,Spectra,Hardcover,224,2004,1950,,2013/03/28,,,read,,,,1,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0307269752""","=""9780307269751""",0,4.12,Knopf,Hardcover,465,2008,2005,,2013/03/28,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
10222,The Far Pavilions,M.M. Kaye,"Kaye, M.M.",,"=""031215125X""","=""9780312151256""",4,4.20,St. Martin's Griffin,Paperback,958,1997,1978,,2013/03/28,,,read,,,,1,,,0,,,,,
390711,"Noble House (Asian Saga, #5)",James Clavell,"Clavell, James",,"=""""","=""""",4,4.24,Dell,Mass Market Paperback,1376,1986,1981,,2013/03/28,,,read,,,,1,,,0,,,,,
12663,The Covenant,James A. Michener,"Michener, James A.",,"=""0749311614""","=""9780749311612""",4,4.18,Mandarin,Paperback,1240,1992,1980,,2013/03/28,,,read,,,,1,,,0,,,,,
9827,"King Rat (Asian Saga, #4)",James Clavell,"Clavell, James",,"=""0385333765""","=""9780385333764""",3,4.11,Delta,Paperback,368,2009,1962,,2013/03/28,,,read,,,,1,,,0,,,,,
7315573,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,"Follett, Ken",,"=""0525951652""","=""9780525951650""",4,4.27,Berkley,Hardcover,985,2010,2010,,2013/03/28,,,read,,,,1,,,0,,,,,
15888,An Instance of the Fingerpost,Iain Pears,"Pears, Iain",,"=""1573227951""","=""9781573227957""",4,3.93,Riverhead Books,Paperback,691,2000,1997,,2013/03/28,,,read,,,,1,,,0,,,,,
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto","William Weaver, Seán Barrett","=""0156001314""","=""9780156001311""",5,4.11,Harvest Books,Paperback,536,1994,1980,,2013/03/28,,,read,,,,1,,,0,,,,,
10692,The Historian,Elizabeth Kostova,"Kostova, Elizabeth",,"=""0751537284""","=""9780751537284""",5,3.77,Time Warner Books,Paperback,704,2005,2005,,2013/03/28,,,read,,,,1,,,0,,,,,
3685,Black Beauty,Anna Sewell,"Sewell, Anna",,"=""0439228905""","=""9780439228909""",4,3.95,Scholastic Paperbacks,Paperback,245,2003,1877,,2013/03/28,,,read,,,,1,,,0,,,,,
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,"=""0517189607""","=""9780517189603""",4,4.12,Children's Classics,Hardcover,331,1998,1911,,2013/03/28,,,read,,,,1,,,0,,,,,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",4,4.34,Doubleday Books,Hardcover,1153,1990,1978,,2013/03/28,,,read,,,,1,,,0,,,,,
41865,"Twilight (Twilight, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",1,3.58,"Little, Brown and Company",Paperback,498,2006,2005,,2013/03/28,don-t-want-to-read,don-t-want-to-read (#2),read,,,,1,,,0,,,,,
15769,"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,"Ludlum, Robert",,"=""0752863886""","=""9780752863887""",3,4.10,Orion,Mass Market Paperback,688,2004,1986,,2013/03/28,,,read,,,,1,,,0,,,,,
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",3,3.87,Pocket Books,Mass Market Paperback,736,2006,2000,,2013/03/28,,,read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Jake Gyllenhaal,"=""0743273567""","=""9780743273565""",4,3.90,Scribner,Paperback,180,2004,1925,,2013/03/28,,,read,,,,1,,,0,,,,,
5907,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618260307""","=""9780618260300""",5,4.25,Houghton Mifflin,Paperback,366,2002,1937,,2013/03/28,,,read,,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",4,4.45,Bantam,Mass Market Paperback,848,2005,1996,,2013/03/28,,,read,,,,1,,,0,,,,,
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,"=""0060764899""","=""9780060764890""",4,4.20,HarperCollins Publishers,Paperback,206,2005,1950,,2013/03/28,,,read,,,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Melina Karakosta, Dom Marcos Barbosa, Richard Howard","=""0156012197""","=""9780156012195""",4,4.29,"Harcourt, Inc.",Paperback,93,2000,1943,,2013/03/28,,,read,,,,1,,,0,,,,,
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618346252""","=""9780618346257""",5,4.34,Houghton Mifflin Harcourt,Paperback,398,2003,1954,,2013/03/28,,,read,,,,1,,,0,,,,,
