Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10614,Misery,Stephen King,"King, Stephen",,"=""0450417395""","=""9780450417399""",4,4.13,New English Library,Paperback,370,1988,1987,2016/09/06,2016/09/05,,,read,,,,1,,,0,,,,,
29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling","=""0751565350""","=""9780751565355""",3,3.71,"Little, Brown",Hardcover,343,2016,2016,2016/08/04,2016/08/05,,,read,,,,1,,,0,,,,,
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",4,4.30,Scribner,Hardcover,849,2011,2011,2016/07/23,2016/07/23,,,read,,,,1,,,0,,,,,
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",4,3.89,Penguin,Paperback,331,1995,1955,2016/07/07,2016/07/07,,,read,,,,1,,,0,,,,,
518,From Java to Ruby,Bruce Tate,"Tate, Bruce",,"=""0976694093""","=""9780976694090""",3,3.12,Pragmatic Bookshelf,Paperback,160,2006,2006,2016/06/24,2016/06/10,,,read,,,,1,,,0,,,,,
22571612,"Crash & Burn (Tessa Leoni, #3)",Lisa Gardner,"Gardner, Lisa",,"=""0525954562""","=""9780525954569""",4,4.01,Dutton,Hardcover,389,2015,2015,2016/06/20,2016/06/20,,,read,,,,1,,,0,,,,,
10357575,1Q84,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",4,3.90,Knopf,Hardcover,925,2011,2009,2016/06/09,2016/06/09,,,read,,,,1,,,0,,,,,
12473374,Town of Cats,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""""","=""""",4,4.06,The New Yorker,ebook,16,2011,2011,2016/06/06,2016/06/05,,,read,"<br/>A short story excerpted from the novel [b:1Q84|10357575|1Q84 (1Q84, #1-3)|Haruki Murakami|https://d.gr-assets.com/books/1359439026s/10357575.jpg|18160093] by the same author. ",,,1,,,0,,,,,
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García",Edith Grossman,"=""140003468X""","=""9781400034680""",4,3.90,Vintage International,Paperback,348,2003,1985,2016/05/31,2016/05/31,,,read,,,,1,,,0,,,,,
26259272,"First Light, Final Hour",Dean Koontz,"Koontz, Dean",,"=""""","=""""",4,4.11,Harper,Kindle Edition,,2015,2015,2015/12/02,2015/12/03,,,read,,,,1,,,0,,,,,
99561,Looking for Alaska,John Green,"Green, John",,"=""0142402516""","=""9780142402511""",4,4.07,Speak,Paperback,221,2006,2005,2016/04/24,2016/04/24,,,read,,,,1,,,0,,,,,
2657,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,"Lee, Harper",,"=""0061120081""","=""9780061120084""",4,4.26,Harper Perennial Modern Classics,Paperback,324,2006,1960,2016/02/04,2016/04/24,,,read,,,,1,,,0,,,,,
7178,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769487""","=""9780316769488""",4,3.80,"Little, Brown",Mass Market Paperback,234,1991,1951,2016/03/28,2016/03/28,,,read,,,,1,,,0,,,,,
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",3,4.55,St. Martin's Press,Hardcover,440,2015,2015,2015/12/27,2015/12/30,,,read,Meh,,,1,,,0,,,,,
